__time,gateway_id,id,value,name
2023-02-26 00:16:10.647000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-26 00:16:10.286000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-25 10:42:01.319000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-25 10:42:00.560000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-24 23:51:35.719000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-24 23:51:35.360000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-24 23:43:47.505000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-24 23:43:46.723000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-24 15:37:05.276000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-24 15:37:04.915000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-24 15:32:34.739000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-24 15:32:33.959000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-24 15:29:16.932000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-24 15:29:16.207000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-24 15:24:41.380000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-24 15:24:41.019000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-24 15:21:57.809000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-24 15:21:57.449000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-24 15:15:52.021000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-24 15:15:51.287000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-24 14:54:15.862000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-24 14:54:15.083000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-24 09:05:59.013000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-24 09:05:58.653000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-24 07:35:22.179000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-24 07:35:21.818000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-22 17:17:13.987000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-22 17:17:13.626000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-22 17:15:28.223000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-22 17:15:27.443000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-22 17:12:02.907000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-22 17:12:02.546000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-22 17:09:22.806000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-22 17:09:21.873000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-21 13:22:38.677000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-21 13:22:38.317000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-21 13:21:02.870000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-21 13:21:02.509000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-21 11:04:55.818000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-21 11:04:55.489000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-21 11:03:30.315000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
2023-02-21 11:03:29.955000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-21 10:53:24.578000+00:00,042fa1d75d48b311,9,0,Compressor1HighSidePressure
2023-02-21 10:53:23.855000+00:00,042fa1d75d48b311,14,0,Compressor1Unloader1
