time,AmbientTemperature,Ignition
2023-05-24 07:47:26.677000+00:00,42.0,1.0
2023-05-24 07:48:48.761000+00:00,43.2,1.0
2023-05-24 07:52:16.133000+00:00,42.0,1.0
2023-05-24 07:53:00.776000+00:00,43.2,1.0
2023-05-24 07:53:33.898000+00:00,42.0,1.0
2023-05-24 07:53:51.179000+00:00,43.2,1.0
2023-05-24 07:53:55.499000+00:00,42.0,1.0
2023-05-24 08:00:41.602000+00:00,41.2,1.0
2023-05-24 08:04:24.815000+00:00,42.0,1.0
2023-05-24 08:06:38.743000+00:00,43.2,1.0
2023-05-24 08:06:44.503000+00:00,42.0,1.0
2023-05-24 08:07:34.906000+00:00,43.2,1.0
2023-05-24 08:09:37.313000+00:00,42.0,1.0
2023-05-24 08:19:23.427000+00:00,43.2,1.0
2023-05-24 08:20:18.151000+00:00,42.0,1.0
2023-05-24 08:22:32.078000+00:00,43.2,1.0
2023-05-24 08:23:38.322000+00:00,42.0,1.0
2023-05-24 08:26:54.173000+00:00,43.2,1.0
2023-05-24 08:29:52.744000+00:00,44.0,1.0
2023-05-24 08:32:12.432000+00:00,43.2,1.0
2023-05-24 08:32:16.752000+00:00,44.0,1.0
2023-05-24 08:32:23.952000+00:00,43.2,1.0
2023-05-24 08:34:09.079000+00:00,42.0,1.0
2023-05-24 08:43:14.870000+00:00,41.2,1.0
2023-05-24 08:52:16.342000+00:00,42.0,1.0
2023-05-24 08:53:00.985000+00:00,41.2,1.0
2023-05-24 08:55:19.233000+00:00,40.0,1.0
2023-05-24 08:55:30.753000+00:00,41.2,1.0
2023-05-24 08:55:37.954000+00:00,40.0,1.0
2023-05-24 09:06:11.591000+00:00,41.2,1.0
2023-05-24 09:15:28.903000+00:00,40.0,1.0
2023-05-24 09:17:19.789000+00:00,39.2,1.0
2023-05-24 09:21:41.885000+00:00,38.0,1.0
2023-05-24 09:21:47.645000+00:00,39.2,1.0
2023-05-24 09:21:59.166000+00:00,38.0,1.0
2023-05-24 09:22:15.007000+00:00,39.2,1.0
2023-05-24 09:23:11.170000+00:00,38.0,1.0
2023-05-24 09:38:09.782000+00:00,37.2,1.0
2023-05-24 09:38:15.542000+00:00,38.0,1.0
2023-05-24 09:42:13.156000+00:00,37.2,1.0
2023-05-24 09:46:19.410000+00:00,38.0,1.0
2023-05-24 09:49:49.662000+00:00,37.2,1.0
2023-05-24 09:56:14.164000+00:00,38.0,1.0
2023-05-24 09:57:08.887000+00:00,37.2,1.0
2023-05-24 10:01:25.222000+00:00,38.0,1.0
2023-05-24 10:07:33.883000+00:00,37.2,1.0
2023-05-24 10:11:54.538000+00:00,38.0,1.0
2023-05-24 10:18:21.920000+00:00,37.2,1.0
2023-05-24 10:21:47.852000+00:00,36.0,1.0
2023-05-24 10:21:59.373000+00:00,37.2,1.0
2023-05-24 10:22:28.175000+00:00,36.0,1.0
2023-05-24 10:32:28.689000+00:00,37.2,1.0
2023-05-24 10:34:28.216000+00:00,36.0,1.0
2023-05-24 10:37:18.146000+00:00,37.2,1.0
2023-05-24 10:43:15.286000+00:00,36.0,1.0
2023-05-24 10:43:23.926000+00:00,37.2,1.0
2023-05-24 10:46:51.298000+00:00,36.0,1.0
2023-05-24 10:47:02.819000+00:00,37.2,1.0
2023-05-24 10:51:36.434000+00:00,36.0,1.0
2023-05-24 10:59:34.541000+00:00,35.2,1.0
2023-05-24 11:01:19.667000+00:00,36.0,1.0
2023-05-24 11:01:36.948000+00:00,35.2,1.0
2023-05-24 11:01:58.550000+00:00,36.0,1.0
2023-05-24 11:04:41.279000+00:00,35.2,1.0
2023-05-24 11:05:08.640000+00:00,36.0,1.0
